Article Title	link	Primeira fase - Leitura de títulos<br>**Critério de exclusão de títulos** = *Não tem conversação (NTC)*	Segunda fase - Leitura de abstracts<br>**Critério de exclusão** = *Não tem BDI ou não é embarcado*
:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	------------------------------------------------------------------------------------------------------------------------------------------------	:-------------------------------------------------------------------------------------------------------	:--------------------------------------------------------------------------------------------------
Conversational Product Navigation for E-commerce via Knowledge-Based Multi-Agent Chatbots	https://www.webofscience.com/wos/alldb/full-record/WOS:001679963600075	!	X
Conversational AI for multi-agent communication in Natural Language Research directions at the Interaction Lab	https://www.webofscience.com/wos/alldb/full-record/WOS:000860281200004	!	OK
Modeling Machine Learning Agent for Interaction Conversational System Using Max Entropy Approach in Natural Language Processing	https://www.webofscience.com/wos/alldb/full-record/WOS:000582480200014	!	X
Modeling a Conversational Agent using BDI Framework	https://www.webofscience.com/wos/alldb/full-record/WOS:001124308100122	!	OK
An Overview of Conversational Agent: Applications, Challenges and Future Directions	https://www.webofscience.com/wos/alldb/full-record/WOS:000795868100042	!	X - Mas pode ser citado
Modelling a Conversational Agent with Complex Emotional Intelligence	https://www.webofscience.com/wos/alldb/full-record/WOS:000668126806048	!	X
Applications of Artificial Intelligence in Conversational Agents: A Systematic Literature Review of AI in Chatbots	https://www.webofscience.com/wos/alldb/full-record/WOS:001333518000050	!	X
AI-Based Conversational Agents: A Scoping Review From Technologies to Future Directions	https://www.webofscience.com/wos/alldb/full-record/WOS:000852233800001	!	X
Integrating Ontologies and Cognitive Conversational Agents in On2Conv	https://www.webofscience.com/wos/alldb/full-record/WOS:001554034100005	!	OK
META-GUI: Towards Multi-modal Conversational Agents on Mobile GUI	https://www.webofscience.com/wos/alldb/full-record/WOS:001588789700047	!	X
A semantic-based conversational agent framework	https://www.webofscience.com/wos/alldb/full-record/PQDT:68173412	!	!
Subjectivity and Cognitive Biases Modeling for a Realistic and Efficient Assisting Conversational Agent	https://www.webofscience.com/wos/alldb/full-record/WOS:000279800700033	!	X
Domain-adaptive conversational agent with two-stage dialogue management	https://www.webofscience.com/wos/alldb/full-record/WOS:000226133600115	!	X
AI-Based Language Chatbot 2.0-The Design and Implementation of English Language Concept Learning Agent App	https://www.webofscience.com/wos/alldb/full-record/WOS:000763915900003	!	X
~~Development of Gamified Cognitive Agents for Primary Schools - A Case Study~~	https://www.webofscience.com/wos/alldb/full-record/WOS:001242791400001	X (LT) - NTC	-
